player_name,draft_round,draft_number,pts,ast_pct,reb_pct,ts_pct,usg_pct,champ,all_star
Brian Grant,1,8,9.16,0.0691,0.3051,0.5265,0.1713,0,0
Brian Roberts,0,0,6.14,0.231,0.0964,0.519,0.1982,0,0
Brian Scalabrine,2,34,2.809090909,0.1098181818,0.1737272727,0.4836363636,0.1344545455,1,0
Brian Shaw,1,24,4.185714286,0.2491428571,0.1785714286,0.3885714286,0.1558571429,3,0
Brian Skinner,1,22,3.907142857,0.0315,0.2546428571,0.4338571429,0.1273571429,0,0
Brook Lopez,1,10,16.52666667,0.0756,0.2089333333,0.5749333333,0.2366,1,1
Bruce Bowen,0,0,5.376923077,0.06592307692,0.1097692308,0.4569230769,0.106,3,0
Bruce Brown,2,42,8.5,0.1344,0.1718,0.5474,0.1498,1,0
Bruno Caboclo,1,20,2.814285714,0.06542857143,0.1921428571,0.4137142857,0.1964285714,0,0
Bruno Sundov,2,35,1.885714286,0.07614285714,0.2075714286,0.3755714286,0.2375714286,0,0
Bryant Reeves,1,6,12.1,0.0922,0.2588,0.5036,0.2078,0,0
Bryant Stith,1,13,8.166666667,0.1201666667,0.1288333333,0.5153333333,0.1675,0,0
Bryce Drew,1,16,3.55,0.2183333333,0.1013333333,0.4296666667,0.158,0,0
Bryn Forbes,0,0,7.842857143,0.09185714286,0.078,0.5492857143,0.176,1,0
Bryon Russell,2,45,8.08,0.1179,0.21,0.4885,0.1425,0,0
Buddy Hield,1,6,16.14285714,0.1292857143,0.1487142857,0.5685714286,0.2251428571,0,0
Byron Mullens,1,24,5.42,0.053,0.2608,0.4432,0.2118,0,0
C.J. Watson,0,0,7.03,0.1938,0.1058,0.5243,0.1711,0,0
Calbert Cheaney,1,6,6.76,0.0958,0.1441,0.4626,0.1498,0,0
Calvin Booth,2,35,3.13,0.0541,0.2434,0.4855,0.1331,0,0
Cameron Payne,1,14,8.2125,0.2555,0.124625,0.5175,0.20275,0,0
Caris LeVert,1,20,14.57142857,0.218,0.1334285714,0.5294285714,0.2304285714,0,0
Carl Landry,2,31,10.05555556,0.05588888889,0.2676666667,0.5953333333,0.2006666667,0,0
Carlos Arroyo,0,0,6.255555556,0.2856666667,0.1092222222,0.5085555556,0.1915555556,0,0
Carlos Boozer,2,34,16.26923077,0.1256923077,0.3536923077,0.5528461538,0.2404615385,0,2
Carlos Delfino,1,25,7.975,0.12175,0.18125,0.507875,0.17525,0,0
Carlos Rogers,1,11,5.483333333,0.07516666667,0.2265,0.595,0.1673333333,0,0
Carmelo Anthony,1,3,22.01578947,0.1337368421,0.1965789474,0.5402105263,0.2872105263,0,10
Caron Butler,1,10,13.69285714,0.1141428571,0.1750714286,0.5188571429,0.2112142857,1,2
Cartier Martin,0,0,5.357142857,0.06171428571,0.1572857143,0.4934285714,0.1734285714,0,0
Cedi Osman,2,31,9.616666667,0.1238333333,0.1338333333,0.5491666667,0.1795,0,0
Cedric Ceballos,2,48,12.32,0.0798,0.2466,0.5256,0.246,0,1
Cedric Henderson,2,44,6.38,0.1134,0.123,0.4718,0.1894,0,0
Chandler Parsons,2,38,10.6,0.1367777778,0.1572222222,0.5227777778,0.1847777778,0,0
Channing Frye,1,8,8.415384615,0.07023076923,0.2278461538,0.5457692308,0.1813076923,1,0
Charles Oakley,1,9,6.275,0.135,0.281875,0.479875,0.137875,0,1
Charles Smith,1,26,3.98,0.0954,0.084,0.4618,0.1976,0,0
Charlie Bell,0,0,6.742857143,0.133,0.1114285714,0.4678571429,0.1648571429,0,0
Charlie Villanueva,1,7,9.590909091,0.067,0.2605454545,0.5108181818,0.24,0,0
Charlie Ward,1,26,6.533333333,0.2838888889,0.1333333333,0.5237777778,0.156,0,0
Chase Budinger,2,44,7.9,0.08928571429,0.1734285714,0.5295714286,0.1811428571,0,0
Chauncey Billups,1,3,14.04705882,0.2604705882,0.1063529412,0.5627058824,0.2147058824,1,5
Cheick Diallo,2,33,4.88,0.0412,0.3492,0.5956,0.168,0,0
Cherokee Parks,1,12,4.0375,0.0565,0.256375,0.48825,0.14075,0,0
Chimezie Metu,2,49,5.02,0.107,0.2592,0.5506,0.1974,0,0
Chris Andersen,0,0,4.78,0.04193333333,0.325,0.5544666667,0.1391333333,1,0
Chris Bosh,1,4,19.39230769,0.09892307692,0.2766153846,0.5691538462,0.2488461538,2,11
Chris Boucher,0,0,7.05,0.03133333333,0.4055,0.4906666667,0.2135,2,0
Chris Carr,2,56,7.08,0.1064,0.1638,0.525,0.2252,0,0
Chris Childs,0,0,5.4,0.2941428571,0.1074285714,0.4808571429,0.1414285714,0,0
Chris Crawford,2,50,6.385714286,0.06671428571,0.1718571429,0.5455714286,0.2145714286,0,0
Chris Douglas-Roberts,2,40,5.55,0.0985,0.1258333333,0.4995,0.1613333333,0,0
Chris Dudley,4,75,1.885714286,0.02957142857,0.3211428571,0.3584285714,0.09442857143,0,0
Chris Duhon,2,38,6.144444444,0.2562222222,0.09833333333,0.5152222222,0.1302222222,0,0
Chris Gatling,1,16,10.98333333,0.06416666667,0.298,0.5086666667,0.2555,0,1
Chris Johnson,0,0,3.828571429,0.044,0.188,0.5507142857,0.1431428571,0,0
Chris Kaman,1,6,10.86153846,0.09507692308,0.3165384615,0.5219230769,0.2223846154,0,1
Chris Mihm,1,7,6.6375,0.06125,0.303375,0.483625,0.1965,0,0
Chris Mills,1,22,10.52857143,0.1091428571,0.2022857143,0.4895714286,0.194,0,0
Chris Mullin,1,7,9.36,0.1276,0.1374,0.5888,0.179,4,5
Chris Paul,1,4,17.84444444,0.4277777778,0.1443333333,0.5816111111,0.2310555556,0,12
Chris Quinn,0,0,3.65,0.2291666667,0.0845,0.463,0.1666666667,0,0
Chris Webber,1,1,19.55,0.1975,0.2895833333,0.5010833333,0.26525,0,5
